iota	chirp_mass	phi_1	chi_p	tilt_1	dec	mass_1	mass_2	chi_eff	total_mass	mass_ratio	psi	phi_jl	phi_2	phi_12	total_mass_source	theta_jn	a_1	phase	ra	mass_2_source	luminosity_distance	a_2	chirp_mass_source	tilt_2	mass_1_source	redshift
1.562609632801175374e+00	1.062829034369054426e+02	1.028618572277831156e+00	2.192669543435087076e-01	1.194849305840359532e+00	-6.846536760323838067e-01	1.688769377794200182e+02	8.999780046906248288e+01	-2.480610214174124722e-02	2.588747382484825152e+02	5.329194243598486258e-01	1.414141639196613509e+00	1.164845375080189260e+00	3.561562232965269637e+00	2.532943660687438925e+00	1.520490970799100694e+02	1.657934764489143786e+00	2.357302774964768477e-01	3.042566961344862264e+00	3.516816449739081918e-01	5.285986725890613513e+01	4.398112249192783565e+03	3.365389838749693885e-01	6.242486081087315597e+01	2.338658017155686331e+00	9.918922982100392005e+01	7.025733346672211610e-01
1.071574866623361544e+00	5.293690971339201212e+01	1.938209174533737311e+00	5.155154005978983545e-01	1.743477395883924030e+00	-3.205546102344600801e-01	2.815630412136732161e+02	1.773050525868132965e+01	-9.174149031373642071e-02	2.992935464723545351e+02	6.297170673485502634e-02	1.527998502397579283e+00	1.480716644295668072e+00	5.313020044364398231e+00	3.374810869830660476e+00	1.924482618792275161e+02	2.462892849479375368e+00	5.232980803214272170e-01	2.710390730925754443e+00	2.706846683351137983e+00	1.140086366542790586e+01	3.304787405855724501e+03	3.469833723151011795e-01	3.403887716149238685e+01	1.926209273113474563e+00	1.810473982137996245e+02	5.551896574684507257e-01
2.811871566138504530e+00	6.551698030452169519e+01	4.003306219811479494e+00	5.200211095207991630e-01	1.691639319739670633e+00	-4.151375915190964605e-01	9.259974667235880474e+01	6.166993925589905956e+01	-1.297586455696570773e-01	1.542696859282578714e+02	6.659838873436967344e-01	2.093317065336157246e+00	5.501782285203115741e+00	3.666828558494537926e+00	5.946707645862645997e+00	6.589055187284211001e+01	2.668023180563608321e+00	5.238412920463336730e-01	5.515189340331438927e+00	2.107822009638290695e+00	2.634001817716494287e+01	9.751032166247576242e+03	5.490359114571115029e-01	2.798313851053428536e+01	2.002598712403263370e+00	3.955053369567716715e+01	1.341302076600798365e+00
2.240688259132438187e+00	4.681888238795168888e+01	4.434324081637655013e-01	2.557083680585999219e-01	2.203394336952010146e+00	7.924175616272268741e-01	6.007133542670774773e+01	4.826415433325774984e+01	-1.044237073092566664e-01	1.083354897599654976e+02	8.034473345801378397e-01	2.890878597410503570e+00	2.492571860776212844e+00	1.918351571255062282e+00	1.474919163091297225e+00	6.575400200773772497e+01	2.301393412903982139e+00	3.170616412514249416e-01	4.995449656252013426e+00	7.854737455383684619e-01	2.929382890096609060e+01	3.982253947458489620e+03	5.357333637146060451e-02	2.841662407543808300e+01	1.590835323068478857e+00	3.646017310677162726e+01	6.475877733984453100e-01
1.462775335331658155e+00	2.133039623966327554e+02	5.633165484021277258e+00	1.245097182380518336e-01	2.697002234276987931e+00	-4.911051778570176829e-01	5.647933867497740721e+02	1.187684837624655643e+02	-2.356560204002532410e-01	6.835618705122396932e+02	2.102866048873988092e-01	2.383179341538040674e+00	1.480610864421727069e+00	8.163676941029613943e-01	1.466387517261270368e+00	4.638731942807818314e+02	1.894190717938185387e+00	2.894981356024557417e-01	5.116473773945235060e+00	4.798877449407406459e+00	8.059770200683476560e+01	2.730987796956427246e+03	4.781896537164465610e-01	1.447505992625463591e+02	1.810320972013466090e+00	3.832754922739470089e+02	4.735964029395511310e-01
2.673595522337579578e+00	4.459552917722592724e+01	4.038006669886478051e+00	1.425641808743377259e-01	1.793500064101559266e+00	-4.919135358543020864e-01	7.399286349609793945e+01	3.635370188139045666e+01	1.104721356254993181e-01	1.103465653774883890e+02	4.913136235538119179e-01	8.413305095962212432e-01	5.418954576887183627e+00	2.999552611760080367e+00	5.244731249053188549e+00	6.968506025428028750e+01	2.625875475452974062e+00	6.144468132631892426e-02	5.196294346045082335e+00	7.998058921622970274e-01	2.295775946813159862e+01	3.509404734639308572e+03	4.838006201678050622e-01	2.816256334898564972e+01	7.224393892482370294e-01	4.672730078614869598e+01	5.835039099461859502e-01
2.016257837701868727e+00	8.146694791458131135e+01	6.992676715749119865e-01	1.375333450701643756e-01	1.762717381137506312e+00	-1.361757301828800948e-01	3.395318268504892103e+02	3.242803343005326866e+01	-8.697026746273937847e-02	3.719598602805425003e+02	9.550808161596219259e-02	1.021031295886694945e+00	3.531033872293589226e+00	5.087344401138400585e+00	4.388076729563489486e+00	2.808979367758788612e+02	1.861087685542846648e+00	1.401057403872941476e-01	5.790069456839513684e+00	1.298154642921396373e+00	2.448911470536350876e+01	1.748306661680621119e+03	7.697262354796956529e-01	6.152249215109986835e+01	2.772045879248345557e+00	2.564088220705153276e+02	3.241815320890716889e-01
2.059589587521025056e+00	7.990817127248567431e+01	5.580696844536825907e+00	3.261091196288038452e-01	2.067095147753923889e+00	-1.295432218220086362e+00	1.025142496445107554e+02	8.238455130171146834e+01	-3.979635058019011934e-02	1.848988009462222237e+02	8.036399972432792804e-01	1.774000752808359671e+00	1.884023088586481709e+00	5.985093111119521581e+00	4.043962665826963399e-01	9.156077937544675649e+01	2.204961934855361960e+00	3.708520540192729587e-01	5.641188616244481757e+00	2.729020385631407919e+00	4.079633662889525425e+01	6.948834433452956546e+03	1.569828799788525464e-01	3.957004806268842145e+01	5.902521624011632939e-01	5.076444274655149513e+01	1.019410518427776857e+00
9.250218207162622663e-01	4.057674986063009470e+01	1.523207029044840510e+00	4.095371352593149550e-01	3.186492968002582749e-01	-9.140381768665739592e-01	5.611793846115727291e+01	3.897053273514340788e+01	7.684614195502221801e-01	9.508847119630067368e+01	6.944398494274223177e-01	2.918135358253546308e+00	8.015427977293982931e-01	2.257525217905630655e+00	7.343181888607891450e-01	5.249464176108691760e+01	1.027998577953360249e+00	9.692759731613512786e-01	1.982983524362820438e+00	2.665817241373112267e+00	2.151411342965888096e+01	5.246349650916014070e+03	8.291890753194570696e-01	2.240084335109047942e+01	8.463028434323485172e-01	3.098052833142804374e+01	8.113938490916149382e-01
1.668785223731083178e+00	1.221415940444972961e+02	3.448458973863325117e+00	2.211091542857581138e-01	7.202727802908687194e-01	4.187986859735672862e-01	6.636474085829903515e+02	4.030412428631721866e+01	2.106452042052771867e-01	7.039515328693075844e+02	6.073123132112270145e-02	1.396653859945779397e+00	5.407317742539213157e+00	1.522585631560957609e-02	2.849952189631871580e+00	3.450691037233192446e+02	1.280214985638257197e+00	3.352222538203419311e-01	5.067656965469733876e+00	4.835977657750873959e-01	1.975662725975594824e+01	7.122710957993042030e+03	6.377672328493411147e-01	5.987243214384344014e+01	2.398576872285256290e+00	3.253124764635633142e+02	1.040030606257188461e+00
